"Raw data used for analyses in Gotelli, N.J., and A.M. Ellison. 2006. Food-web models predict species abundance in response to habitat change. PLoS Biology 44(10): e324. DOI: 10.1371/journal.pbio.0040324",,,,,,,,,,
,,,,,,,,,,
Treatment: Leaf manipulations: A = Control; B = Trophic Removal; C = Habitat Expansion; D = Habitat Expansion & Trophic Removal; E = Habitat Contraction & Trophic Removal.,,,,,,,,,,
Leaf Age: X = Previous year?s leaf; A = First leaf; B = Second leaf.,,,,,,,,,,
Plant ID: Unique identification number for each plant assigned to an experimental treatment.,,,,,,,,,,
Leaf Volume: Average habitat volume (ml) for each leaf during the experiment.,,,,,,,,,,
Species (Protozoa ? Wyeomyia): Average abundance of individual taxa and prey measured in the experiment. Protozoa data were log2(x + 1) transformed.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Treatment,Plant Age,Plant ID,Leaf Volume,ln(Protozoa),Metriocnemus,Fletcherimyia,Sarraceniopus,Habrotrocha,Prey,Wyeomyia
D,B,D3,14.15,4.0832,4,0.6667,0.6667,5.8333,5.5,1.5
D,X,D46,12.9714,3.4942,9.7857,0,0.3077,5.3077,1.2143,3.4286
D,A,D46,10.1571,4.2826,6.1429,0,0.1429,4.4286,2,5.5714
D,B,D46,3.75,0,8.75,4.25,0,0,0,10.15
D,X,D43,7.8,5.7424,6.6,0,0.2,13.5,0.9,1.4
D,A,D43,19.0375,2.7726,7.125,0,0.125,9.875,5.75,2
D,B,D43,27.6,0,3.4,0.2,0.8,6.4,2.6,6.4
D,X,D33,50.5512,3.2432,18.2857,0,0.3846,3.5385,2.5,3.8571
D,A,D33,34.64,0,1.6,0.2,0.25,1.5,2,4.2
D,X,D40,23.1786,0.6506,16.9286,0,0,3.75,2.4286,2.6429
D,A,D40,21.0714,4.3021,16.1429,0,0,3.2857,8.2857,3.7143
D,B,D40,2.54,1.0986,2.2,0,0,1.4,0.2,3.8
D,X,D31,9.6071,0.5705,2.3571,0,0.7692,15.3846,1.7692,0.2857
D,A,D31,18.1,2.3979,1.2857,0.1429,0,7.1429,2.8571,2.2857
D,B,D31,3.3333,0,0.6667,0,0,6,0.3333,7.6667
D,X,D10,7.5143,0.5705,1.0714,0.0714,0.1538,20.6154,0.7143,0.6429
D,A,D10,18.5625,2.2773,6.375,0,0.625,7.125,28.5,2.125
D,X,D9,4.35,2.5883,2.5,0,0.3077,26.4615,1.0769,0.1429
D,A,D9,9.1625,2.1401,2.125,0.625,0.875,5.25,5.2857,0.875
D,B,D9,9.7667,0,1,0.3333,0.3333,6.6667,2.3333,0.3333
D,X,D41,9.2571,2.3191,3.4286,0,2.1538,8.75,0.2857,0.3571
D,A,D41,8,0,2.1429,0,0.5714,1.4286,0.1429,0.2857
D,B,D41,15.45,0,1.6667,0.1667,0.6667,2.6667,1.6667,2.1667
D,X,D19,7.9857,1.4053,2.5714,0,0.4615,7.0769,0.8462,0.9286
D,A,D19,,1.8083,2.7262,0.1406,0.7493,8.1782,5.0172,0.9018
