Sitename Sitenum Atlantic Current longitude latitude ShellBreadth ShellHeight Columella ApertureWidth ApertureLength Proportionality Circularity Spireheight N.Telochonc.Whorls N.Protochonch.Whorls Whorl.First.Primary N.Primary.Whorls Whorl.Axial.Striae Whorl.Secondary.Groove Regularity.Secondary.Groove Whorl.Tertiary.Groove Whorl.Spiral.Striae Columella.Color Columella.Morphology
Florida 18 West GulfofMex 82 27 11.3 16.5 0.5 5.8 9 1.46 0.64 1.83 8 2 3 4 3 4 0 7 7 0 0
Florida 18 West GulfofMex 82 27 20.5 30.2 2 11.1 14.9 1.47 0.74 2.03 8 2 4 5 2 5 0 7 5 0 1
Florida 18 West GulfofMex 82 27 9.9 15.2 0.6 5.9 7.7 1.54 0.77 1.97 8 2 1 3 1 4 0 7 5 0 0
Florida 18 West GulfofMex 82 27 20.2 28.3 2.1 11.2 15 1.40 0.75 1.89 8 0 3 2 2 4 0 8 6 0 0
Florida 18 West GulfofMex 82 27 9.9 13.6 0.8 5.6 7.7 1.37 0.73 1.77 7 2 1 2 1 5 1 7 0 0 0
Florida 18 West GulfofMex 82 27 18.7 26.3 1.7 10.5 13.9 1.41 0.76 1.89 8 0 3 3 1 6 0 8 8 0 0
Florida 18 West GulfofMex 82 27 13 18.3 0.9 7.2 9.7 1.41 0.74 1.89 8 2 3 3 1 5 0 8 8 0 0
Florida 18 West GulfofMex 82 27 10 13.6 0.5 5.6 7.7 1.36 0.73 1.77 7 0 3 2 1 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 10.2 13.7 0.2 5.8 7.7 1.34 0.75 1.78 8 0 3 4 1 4 0 7 8 0 6
Florida 18 West GulfofMex 82 27 10.8 15.2 0.8 6.2 8.3 1.41 0.75 1.83 8 3 3 3 2 6 0 8 7 0 0
Florida 18 West GulfofMex 82 27 18.4 25.4 1.9 10.7 14.2 1.38 0.75 1.79 8 0 3 4 1 4 0 7 6 0 0
Florida 18 West GulfofMex 82 27 18.5 28.6 1.7 11.1 15.3 1.55 0.73 1.87 8 0 1 2 1 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 17 25.2 1.3 9.6 12.8 1.48 0.75 1.97 7 0 1 4 2 4 0 7 6 0 0
Florida 18 West GulfofMex 82 27 16.7 25.7 1.4 10.1 13.4 1.54 0.75 1.92 8 2 3 2 1 5 0 8 0 0 0
Florida 18 West GulfofMex 82 27 9.8 13.9 0.5 5.4 7.4 1.42 0.73 1.88 8 2 3 4 1 4 0 7 7 0 0
Florida 18 West GulfofMex 82 27 19.7 30.6 1.6 10.9 15 1.55 0.73 2.04 8 0 3 4 3 4 0 7 6 0 0
Florida 18 West GulfofMex 82 27 17.1 25 0.9 9.2 12.9 1.46 0.71 1.94 9 0 3 2 1 5 0 9 0 0 0
Florida 18 West GulfofMex 82 27 17 24.8 1.7 9.7 13.1 1.46 0.74 1.89 8 2 3 3 2 5 0 8 5 0 0
Florida 18 West GulfofMex 82 27 11.1 15.8 0.4 6.2 8.5 1.42 0.73 1.86 8 2 2 2 1 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 6.8 9.7 0.3 4 5.5 1.43 0.73 1.76 7 3 2 3 1 5 0 7 7 0 6
Florida 18 West GulfofMex 82 27 16.7 25 1.7 10 13.3 1.50 0.75 1.88 7 0 2 5 1 4 0 6 0 0 0
Florida 18 West GulfofMex 82 27 16.6 24.9 1.4 9.8 13.7 1.50 0.72 1.82 8 0 3 2 2 5 0 8 8 0 0
Florida 18 West GulfofMex 82 27 16.6 22.9 1.3 9.3 12.4 1.38 0.75 1.85 8 0 3 6 3 5 0 6 5 0 0
Florida 18 West GulfofMex 82 27 12.3 16.8 0.8 7.2 9.4 1.37 0.77 1.79 6 0 1 2 1 4 0 7 0 0 0
Florida 18 West GulfofMex 82 27 11.5 16 0.7 6.5 8.9 1.39 0.73 1.80 8 2 2 3 1 5 0 7 8 0 0
Florida 18 West GulfofMex 82 27 11.8 17.1 0.6 6.6 8.7 1.45 0.76 1.97 8 2 2 3 2 4 0 6 6 0 0
Florida 18 West GulfofMex 82 27 10.8 14.9 0.6 6 8.5 1.38 0.71 1.75 7 3 2 3 1 5 0 6 6 0 0
Florida 18 West GulfofMex 82 27 11.5 15.8 0.7 6.2 8.8 1.37 0.70 1.80 8 2 3 6 1 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 6.9 9.4 0.5 4.2 5.3 1.36 0.79 1.77 7 2 4 3 1 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 10.1 14.1 0.5 5.4 7.5 1.40 0.72 1.88 8 2 3 4 2 6 0 7 7 0 0
Florida 18 West GulfofMex 82 27 9.8 14.2 0.6 5.4 7.5 1.45 0.72 1.89 7 0 2 6 1 4 0 6 5 0 0
Florida 18 West GulfofMex 82 27 8 10.8 0.5 4.4 6.2 1.35 0.71 1.74 7 2 3 3 2 5 1 7 7 0 6
Florida 18 West GulfofMex 82 27 9.6 12.5 0.8 5.4 7.5 1.30 0.72 1.67 7 0 3 5 2 5 0 6 0 0 0
Florida 18 West GulfofMex 82 27 10.8 14.8 0.9 5.8 8.5 1.37 0.68 1.74 8 2 2 4 1 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 9.2 12.5 0.7 5.2 7.2 1.36 0.72 1.74 8 2 2 4 2 5 0 6 7 0 0
Florida 18 West GulfofMex 82 27 9.8 13.2 0.8 5.7 7.4 1.35 0.77 1.78 7 3 3 4 2 5 0 7 0 0 0
Florida 18 West GulfofMex 82 27 11.1 15.3 0.8 6.3 8.3 1.38 0.76 1.84 7 3 1 4 1 6 0 0 5 1 0
Florida 18 West GulfofMex 82 27 10.4 14.3 0.7 5.6 7.8 1.38 0.72 1.83 7 0 3 3 3 5 1 6 6 0 0
Florida 18 West GulfofMex 82 27 7.1 10.1 0.3 3.9 5.5 1.42 0.71 1.84 7 3 2 4 1 5 0 7 6 0 6
Florida 18 West GulfofMex 82 27 12.5 17.4 0.8 6.7 9.7 1.39 0.69 1.79 8 2 2 2 2 5 0 6 4 0 0
Florida 18 West GulfofMex 82 27 17.1 25.3 1.4 9.5 13.2 1.48 0.72 1.92 7 0 3 5 2 4 0 7 5 0 0
Florida 18 West GulfofMex 82 27 9.4 12.9 0.5 5.1 7.2 1.37 0.71 1.79 7 3 1 4 1 4 0 6 5 0 0
Florida 18 West GulfofMex 82 27 14.9 21.5 1 8.1 11.7 1.44 0.69 1.84 8 2 3 4 1 4 0 6 6 0 0
Florida 18 West GulfofMex 82 27 17.7 27.3 1.8 9.8 13.5 1.54 0.73 2.02 9 2 4 4 3 6 0 9 9 0 0
Florida 18 West GulfofMex 82 27 10.2 15.3 1 5.6 7.9 1.50 0.71 1.94 8 3 2 3 1 6 0 8 7 0 0
Florida 18 West GulfofMex 82 27 19.1 26.4 1.9 10.3 14.7 1.38 0.70 1.80 8 0 2 5 1 4 0 7 6 0 0
Florida 18 West GulfofMex 82 27 20 28.2 1.6 10.5 14.9 1.41 0.70 1.89 8 0 3 4 2 5 1 7 8 0 0
Florida 18 West GulfofMex 82 27 16.8 22.7 1.8 9.4 12.6 1.35 0.75 1.80 8 0 3 3 2 5 0 8 5 0 0
Florida 18 West GulfofMex 82 27 20.2 27.7 1.4 11.4 15.2 1.37 0.75 1.82 8 0 4 4 1 5 0 8 6 0 0
Florida 18 West GulfofMex 82 27 19.5 28.4 1.8 10.8 15.2 1.46 0.71 1.87 8 0 2 5 1 4 0 6 5 0 0
Florida 18 West GulfofMex 82 27 11.1 14.9 0.7 6.1 8.5 1.34 0.72 1.75 7 3 2 5 1 5 0 6 6 0 0
Florida 18 West GulfofMex 82 27 16.4 23 1.5 9 12.3 1.40 0.73 1.87 8 0 2 4 1 4 0 7 7 0 0
Florida 18 West GulfofMex 82 27 17.3 25 1.5 9.7 13.3 1.45 0.73 1.88 7 0 2 3 1 4 0 7 7 0 0
Florida 18 West GulfofMex 82 27 17.9 25.7 1.5 10.1 13.6 1.44 0.74 1.89 8 3 3 5 3 5 0 7 4 0 0
Florida 18 West GulfofMex 82 27 15.3 22.1 1.3 8.4 11.2 1.44 0.75 1.97 8 0 3 7 1 5 0 7 5 0 0
Florida 18 West GulfofMex 82 27 17.5 24.5 1.9 9.3 13.1 1.40 0.71 1.87 8 0 3 4 2 4 0 7 8 0 0
Florida 18 West GulfofMex 82 27 18.3 26.2 1.6 10.2 13.5 1.43 0.76 1.94 8 0 2 2 2 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 15.3 22 1.3 8.9 11.9 1.44 0.75 1.85 9 2 2 3 1 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 17.5 25.4 1.6 9.8 13.3 1.45 0.74 1.91 8 3 3 3 3 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 16.7 22.6 1.5 9 12.5 1.35 0.72 1.81 8 0 2 5 1 4 0 7 6 0 0
Florida 18 West GulfofMex 82 27 18.7 26.9 1.9 10.5 14.4 1.44 0.73 1.87 8 0 2 2 1 4 0 7 4 0 0
Florida 18 West GulfofMex 82 27 12 16.6 0.8 6.6 9.3 1.38 0.71 1.78 8 0 3 3 2 4 0 7 6 0 0
Florida 18 West GulfofMex 82 27 13.5 19.9 1 7.4 10.7 1.47 0.69 1.86 8 3 2 3 1 4 0 6 6 0 0
Florida 18 West GulfofMex 82 27 12.5 17.6 1 6.6 9.4 1.41 0.70 1.87 8 2 1 3 1 5 0 7 7 0 6
Florida 18 West GulfofMex 82 27 11.7 16.1 0.6 6.3 8.7 1.38 0.72 1.85 7 0 3 3 2 5 0 0 7 0 0
Florida 18 West GulfofMex 82 27 12.8 17.2 0.6 7.1 9.6 1.34 0.74 1.79 8 3 2 3 1 5 1 7 6 0 0
Florida 18 West GulfofMex 82 27 11.6 16.2 0.7 6.4 8.9 1.40 0.72 1.82 8 2 3 4 1 5 0 7 8 0 0
Florida 18 West GulfofMex 82 27 12.1 16.4 1 6.6 9.3 1.36 0.71 1.76 8 0 1 2 1 5 0 7 5 0 0
Florida 18 West GulfofMex 82 27 11.8 16.2 1 6.3 8.9 1.37 0.71 1.82 8 2 1 3 1 5 0 6 5 0 0
Florida 18 West GulfofMex 82 27 16.8 24.3 1.7 10 13 1.45 0.77 1.87 8 0 3 2 3 5 0 7 7 0 0
Florida 19 West GulfofMex 82 27 12 16.8 1 6.5 9 1.40 0.72 1.87 8 0 2 2 1 4 0 6 5 0 0
Florida 19 West GulfofMex 82 27 10.4 14.7 0.5 6 8 1.41 0.75 1.84 8 3 2 2 1 5 0 7 8 0 0
Florida 19 West GulfofMex 82 27 9.8 13.6 0.7 5.7 7.6 1.39 0.75 1.79 7 2 2 3 1 5 0 6 5 0 0
Florida 19 West GulfofMex 82 27 12.3 17.3 1 6.9 9.1 1.41 0.76 1.90 8 2 3 4 1 5 0 6 5 0 0
Florida 19 West GulfofMex 82 27 21.9 34.8 2.3 12.5 17.4 1.59 0.72 2.00 9 0 3 2 2 6 0 7 6 0 0
Florida 19 West GulfofMex 82 27 15 21.3 0.5 8.1 11.5 1.42 0.70 1.85 8 0 3 3 2 5 1 8 3 0 0
Florida 19 West GulfofMex 82 27 12.7 17 1 7.2 9.5 1.34 0.76 1.79 8 0 2 4 2 4 0 7 8 0 0
Florida 19 West GulfofMex 82 27 13 18.6 1 7.2 9.7 1.43 0.74 1.92 8 0 3 4 1 5 0 6 5 0 0
Florida 19 West GulfofMex 82 27 13 18.4 0.9 7.8 10.3 1.42 0.76 1.79 8 2 2 2 1 4 0 8 5 0 0
Florida 19 West GulfofMex 82 27 6.1 8.1 0.2 3.6 4.8 1.33 0.75 1.69 6 3 1 2 1 4 1 6 0 0 0
Florida 19 West GulfofMex 82 27 12.9 18.5 0.9 7.3 10.1 1.43 0.72 1.83 8 0 2 3 2 4 0 7 5 0 0
Florida 19 West GulfofMex 82 27 12.5 17.3 0.8 7.3 9.6 1.38 0.76 1.80 7 0 1 2 1 3 0 6 4 0 0
Florida 19 West GulfofMex 82 27 12.2 17.7 0.8 6.6 9.6 1.45 0.69 1.84 8 0 2 2 2 4 0 6 6 0 0
Florida 19 West GulfofMex 82 27 11.5 16.1 0.7 6.5 9.1 1.40 0.71 1.77 7 0 2 5 1 4 0 6 4 0 0
Florida 19 West GulfofMex 82 27 7.8 10.3 0.4 4.5 6.1 1.32 0.74 1.69 7 2 2 4 1 5 0 7 7 0 0
Florida 19 West GulfofMex 82 27 11.9 16.5 0.7 6.8 9.1 1.39 0.75 1.81 8 2 3 3 1 6 1 8 6 0 0
Florida 19 West GulfofMex 82 27 10.6 14.2 0.7 6.2 8 1.34 0.78 1.78 7 2 2 4 1 4 0 6 5 0 0
Florida 19 West GulfofMex 82 27 10.5 14.4 0.7 5.5 8 1.37 0.69 1.80 7 3 1 3 1 4 0 5 5 0 0
Florida 19 West GulfofMex 82 27 13.4 19.5 1 8.1 10.5 1.46 0.77 1.86 8 0 2 4 1 4 0 7 5 0 0
Florida 19 West GulfofMex 82 27 18 25.4 1.8 10 13.7 1.41 0.73 1.85 8 2 2 3 2 4 0 7 7 0 0
Florida 19 West GulfofMex 82 27 10.2 14.2 0.7 6.1 7.8 1.39 0.78 1.82 7 2 1 2 1 4 0 6 0 0 0
Florida 19 West GulfofMex 82 27 12.7 18.3 1 7.3 9.6 1.44 0.76 1.91 8 2 1 3 1 5 0 7 5 0 0
Florida 19 West GulfofMex 82 27 12.9 17.8 1.1 7.3 9.8 1.38 0.74 1.82 7 2 3 4 1 4 0 6 5 0 0
Florida 19 West GulfofMex 82 27 10.5 14.6 0.5 5.9 8.4 1.39 0.70 1.74 7 3 1 2 1 4 0 6 5 0 6
Florida 19 West GulfofMex 82 27 12.9 18.6 0.8 7.8 10.5 1.44 0.74 1.77 7 0 2 4 1 3 0 6 5 0 0
Florida 19 West GulfofMex 82 27 12.2 18 1.1 7.1 9.4 1.48 0.76 1.91 8 2 2 3 1 4 0 7 5 0 0
Florida 19 West GulfofMex 82 27 11.5 15.9 0.8 6.8 8.8 1.38 0.77 1.81 7 2 2 3 2 5 0 7 7 0 0
Florida 19 West GulfofMex 82 27 11.5 16.4 0.7 6.6 9 1.43 0.73 1.82 8 0 2 3 1 4 0 6 5 0 0
Florida 19 West GulfofMex 82 27 9.4 14.2 0.8 5.4 7.5 1.51 0.72 1.89 8 2 2 2 1 4 0 7 5 0 0
Florida 19 West GulfofMex 82 27 5.6 7.9 0.1 3.5 4.3 1.41 0.81 1.84 7 0 2 2 1 5 0 7 6 0 0
Florida 19 West GulfofMex 82 27 15.5 21.1 1.2 8.6 11.3 1.36 0.76 1.87 7 0 1 3 1 4 0 5 6 0 0
Florida 19 West GulfofMex 82 27 8.6 12.2 0.4 4.7 6.6 1.42 0.71 1.85 7 3 2 2 1 4 0 6 5 0 1
Florida 19 West GulfofMex 82 27 8 10.6 0.5 4.3 6.2 1.33 0.69 1.71 8 3 2 2 1 5 0 7 6 0 0
Florida 19 West GulfofMex 82 27 7 9.4 0.4 4.2 5.3 1.34 0.79 1.77 7 2 1 3 1 4 0 7 6 0 1
Florida 19 West GulfofMex 82 27 4.4 6 0.3 2.7 3.3 1.36 0.82 1.82 6 3 3 3 1 4 0 0 0 0 0
Florida 19 West GulfofMex 82 27 21.1 30.6 2.1 12 16.3 1.45 0.74 1.88 8 0 3 5 1 5 0 7 8 0 0
Florida 19 West GulfofMex 82 27 15.3 20.7 1.4 8.5 11.2 1.35 0.76 1.85 8 3 3 3 2 4 0 6 5 0 0
Florida 19 West GulfofMex 82 27 17.1 23.5 2 9.3 12.4 1.37 0.75 1.90 7 0 2 4 1 4 0 6 6 0 0
Florida 19 West GulfofMex 82 27 16.6 22.4 0.8 8.2 12.1 1.35 0.68 1.85 8 0 1 3 1 4 0 6 6 0 0
Florida 19 West GulfofMex 82 27 13.7 19.2 1.1 7.7 10.4 1.40 0.74 1.85 8 2 1 2 1 4 0 7 6 0 0
Florida 19 West GulfofMex 82 27 20.1 28.4 2.4 11.7 16.4 1.41 0.71 1.73 9 0 3 2 3 6 0 8 7 0 0
Florida 19 West GulfofMex 82 27 19.3 25.8 1.7 10.3 14.6 1.34 0.71 1.77 8 0 3 2 1 4 0 6 5 0 0
Florida 19 West GulfofMex 82 27 19 27.8 2.1 10.9 14.3 1.46 0.76 1.94 8 0 3 4 2 5 1 8 8 0 0
Florida 19 West GulfofMex 82 27 17.2 25.9 1.2 8.9 15.8 1.51 0.56 1.64 9 2 1 2 1 5 0 8 5 0 0
Florida 19 West GulfofMex 82 27 12.8 17.9 0.5 6.9 9.9 1.40 0.70 1.81 8 2 1 4 1 4 0 6 5 0 0
Florida 19 West GulfofMex 82 27 13.1 18.6 1 7.5 10.3 1.42 0.73 1.81 8 2 1 2 1 5 0 7 5 0 0
Florida 19 West GulfofMex 82 27 17.9 24.9 1.2 10 13.4 1.39 0.75 1.86 8 2 1 2 1 4 0 6 5 0 0
Florida 19 West GulfofMex 82 27 15.2 22.4 1.7 9.1 12 1.47 0.76 1.87 9 3 5 4 2 6 0 8 0 0 0
Florida 19 West GulfofMex 82 27 14 19 1.1 8.3 10.7 1.36 0.78 1.78 8 0 1 2 1 4 0 7 7 0 0
Florida 19 West GulfofMex 82 27 12.2 16 0.7 7.2 9.2 1.31 0.78 1.74 8 2 2 4 1 4 0 7 6 0 0
Florida 19 West GulfofMex 82 27 12.9 18.7 0.7 7.7 10.2 1.45 0.75 1.83 7 0 2 5 1 3 0 6 5 0 0
Florida 19 West GulfofMex 82 27 12.6 18.3 0.7 6.9 9.5 1.45 0.73 1.93 8 0 3 2 2 5 0 7 6 0 0
Florida 19 West GulfofMex 82 27 15.5 23 1.6 9.5 12.5 1.48 0.76 1.84 9 2 3 2 1 6 0 8 6 0 0
Florida 19 West GulfofMex 82 27 15.7 22.5 1 9.2 12 1.43 0.77 1.88 8 3 3 6 1 4 0 7 6 0 0
Florida 19 West GulfofMex 82 27 16.7 24.8 1.7 9.5 12.7 1.49 0.75 1.95 8 0 3 2 3 5 0 8 5 0 0
Florida 19 West GulfofMex 82 27 11.7 17.3 0.8 6.7 9.3 1.48 0.72 1.86 8 3 1 5 1 4 0 7 6 0 0
Florida 19 West GulfofMex 82 27 13 17.1 0.8 7.5 9.8 1.32 0.77 1.74 7 2 3 3 3 4 1 6 4 0 0
Florida 19 West GulfofMex 82 27 11.8 16.2 0.8 6.9 8.9 1.37 0.78 1.82 7 2 1 3 1 4 0 6 5 0 0
Florida 19 West GulfofMex 82 27 18.4 27.6 1.9 11.2 14.7 1.50 0.76 1.88 9 0 3 2 1 4 0 8 8 0 0
Florida 19 West GulfofMex 82 27 25.2 38.9 2.3 13.2 18.8 1.54 0.70 2.07 9 0 1 3 1 5 0 8 0 0 0
Florida 19 West GulfofMex 82 27 6.4 9.2 0.3 3.2 5.4 1.44 0.59 1.70 6 2 3 3 1 4 0 6 5 0 0
Florida 20 West GulfofMex 83 25 16.2 22.5 1.6 9.2 12 1.39 0.77 1.88 8 0 3 3 3 4 0 7 0 0 0
Florida 20 West GulfofMex 83 25 14.7 20.6 1.3 8.4 11.2 1.40 0.75 1.84 7 0 2 3 2 5 0 6 0 0 0
Florida 20 West GulfofMex 83 25 14.2 18.6 1.2 8 10.5 1.31 0.76 1.77 8 0 3 3 1 6 0 7 8 0 0
Florida 20 West GulfofMex 83 25 15.1 22.1 1.5 8.6 11.8 1.46 0.73 1.87 8 0 3 4 2 5 0 8 0 0 0
Florida 20 West GulfofMex 83 25 12 16.1 0.9 7 9.1 1.34 0.77 1.77 7 0 2 2 2 4 0 5 7 0 0
Florida 20 West GulfofMex 83 25 10.1 13.5 0.6 5.7 7.5 1.34 0.76 1.80 6 0 2 3 1 4 0 6 6 0 0
Florida 20 West GulfofMex 83 25 12 16.1 0.8 6.7 9.1 1.34 0.74 1.77 7 0 2 3 1 3 0 6 6 0 0
Florida 20 West GulfofMex 83 25 12.5 17.2 1.2 7.4 9.8 1.38 0.76 1.76 6 0 2 5 1 4 1 6 0 0 0
Florida 20 West GulfofMex 83 25 14.2 20 0.9 7.6 11 1.41 0.69 1.82 7 0 3 8 2 5 0 7 0 0 0
Florida 20 West GulfofMex 83 25 15.4 22.1 1.6 8.9 11.4 1.44 0.78 1.94 8 0 3 4 2 5 0 8 8 0 0
Florida 20 West GulfofMex 83 25 13.5 18.1 0.8 7.2 10 1.34 0.72 1.81 8 0 3 3 2 5 1 7 7 0 0
Florida 20 West GulfofMex 83 25 13.9 19.4 1.3 7.5 10 1.40 0.75 1.94 7 0 3 8 2 4 0 6 7 0 0
Florida 20 West GulfofMex 83 25 11.6 15.5 0.8 6.4 9 1.34 0.71 1.72 7 0 3 5 2 6 0 7 7 0 0
Florida 20 West GulfofMex 83 25 14.3 20 1.2 7.9 10.7 1.40 0.74 1.87 7 0 2 4 2 3 0 6 6 0 0
Florida 20 West GulfofMex 83 25 16.1 23.2 1.3 9.1 12.6 1.44 0.72 1.84 7 2 3 5 2 4 0 6 0 0 0
Florida 20 West GulfofMex 83 25 12.1 17.2 1.2 6.9 8.7 1.42 0.79 1.98 7 0 4 5 2 5 0 7 0 0 0
Florida 20 West GulfofMex 83 25 12.5 16.9 0.8 7.3 9.5 1.35 0.77 1.78 7 2 3 6 2 5 0 7 7 0 0
Florida 20 West GulfofMex 83 25 12.9 16.6 1.3 7.7 10 1.29 0.77 1.66 7 0 3 3 3 5 1 7 0 0 0
Florida 20 West GulfofMex 83 25 14 18.4 1.2 8.5 11.2 1.31 0.76 1.64 8 0 4 5 1 5 0 7 0 0 0
Florida 20 West GulfofMex 83 25 16.4 22.5 1.5 9.5 12.4 1.37 0.77 1.81 7 0 2 4 1 4 0 6 0 0 0
Florida 20 West GulfofMex 83 25 8.8 11.8 0.7 4.5 6.9 1.34 0.65 1.71 7 2 3 4 2 5 1 7 7 0 0
Florida 20 West GulfofMex 83 25 13.2 17.5 1 7.6 9.8 1.33 0.78 1.79 0 0 0 0 0 0 0 0 0 0 0
Florida 20 West GulfofMex 83 25 14.9 20.4 1.4 8.3 11.2 1.37 0.74 1.82 7 0 2 5 1 4 0 6 0 0 0
Florida 20 West GulfofMex 83 25 14.7 20 0.9 8.2 11.3 1.36 0.73 1.77 8 0 4 8 1 6 0 8 0 0 0
Florida 20 West GulfofMex 83 25 17.1 23.7 1.9 9.2 12.3 1.39 0.75 1.93 8 0 3 4 2 5 0 7 8 0 0
Florida 20 West GulfofMex 83 25 13 17.3 0.8 7.4 9.9 1.33 0.75 1.75 7 0 3 7 2 4 1 6 5 0 0
Florida 20 West GulfofMex 83 25 14.3 20.7 1.4 7.9 11.2 1.45 0.71 1.85 7 2 2 4 2 5 1 6 0 0 0
Florida 20 West GulfofMex 83 25 15.4 21.9 1.3 8.7 11.9 1.42 0.73 1.84 7 2 3 9 2 5 0 7 7 0 0
Florida 20 West GulfofMex 83 25 15.1 21.4 1.2 8.4 11.6 1.42 0.72 1.84 8 0 3 5 3 5 0 8 6 0 0
Florida 20 West GulfofMex 83 25 14.4 21.6 1.2 8.6 11.6 1.50 0.74 1.86 8 0 3 5 4 6 0 8 0 0 0
Florida 21 West GulfofMex 82 27 13.6 19.2 1.3 7.4 10.2 1.41 0.73 1.88 7 0 2 4 2 4 0 6 0 0 0
Florida 21 West GulfofMex 82 27 12.1 18.4 1.1 6.5 9 1.52 0.72 2.04 8 2 4 4 2 6 0 8 0 0 0
Florida 21 West GulfofMex 82 27 12 17.8 1 7 9.4 1.48 0.74 1.89 8 0 2 2 2 5 1 8 0 0 0
Florida 21 West GulfofMex 82 27 11.8 18 0.6 6.5 8.9 1.53 0.73 2.02 8 0 3 1 2 5 0 8 0 0 0
Florida 21 West GulfofMex 82 27 11.4 17.1 0.6 6.6 8.5 1.50 0.78 2.01 8 0 4 4 1 5 0 7 6 0 0
Florida 21 West GulfofMex 82 27 11.8 16.7 0.8 6.7 8.9 1.42 0.75 1.88 7 3 3 6 2 4 0 6 5 1 0
Florida 21 West GulfofMex 82 27 10.4 15.7 1 6.2 8.2 1.51 0.76 1.91 7 3 3 3 2 4 0 7 0 0 0
Florida 21 West GulfofMex 82 27 9.2 13.6 0.7 5.3 7.1 1.48 0.75 1.92 7 0 3 3 2 5 0 0 0 0 0
Florida 21 West GulfofMex 82 27 8.9 12.5 0.3 5.2 6.6 1.40 0.79 1.89 6 2 3 4 3 4 0 5 4 0 0
Florida 21 West GulfofMex 82 27 8.6 12 0.4 5 6.4 1.40 0.78 1.88 7 0 2 3 1 4 0 6 5 0 0
Florida 21 West GulfofMex 82 27 8.5 12.2 0.5 5 6.6 1.44 0.76 1.85 7 0 3 4 1 4 0 7 6 0 0
Florida 21 West GulfofMex 82 27 11 16.1 1 6.3 8.5 1.46 0.74 1.89 8 0 4 4 3 5 0 7 0 0 0
Florida 21 West GulfofMex 82 27 12.6 18.4 1.1 6.9 9.2 1.46 0.75 2.00 7 0 3 4 2 5 0 7 6 0 0
Florida 21 West GulfofMex 82 27 10.1 14.7 0.6 5.7 7.3 1.46 0.78 2.01 7 0 4 4 2 5 0 7 0 0 0
Florida 21 West GulfofMex 82 27 11.2 15.4 1.1 6.2 8.2 1.38 0.76 1.88 7 0 3 2 2 5 0 7 0 0 0
Florida 21 West GulfofMex 82 27 14.7 20.8 1.5 8.1 10.7 1.41 0.76 1.94 7 0 4 4 2 6 0 7 0 0 0
Florida 21 West GulfofMex 82 27 12.1 18 0.8 6.8 9.2 1.49 0.74 1.96 8 0 4 4 3 5 0 7 0 0 0
Florida 21 West GulfofMex 82 27 11.4 17.6 1 6.6 8.6 1.54 0.77 2.05 8 0 3 4 2 4 1 8 0 0 0
Florida 21 West GulfofMex 82 27 10.1 14.5 0.8 6 7.6 1.44 0.79 1.91 7 0 3 4 2 5 0 7 0 0 0
Florida 21 West GulfofMex 82 27 10 15.4 0.8 5.7 7.5 1.54 0.76 2.05 7 0 4 3 2 5 0 7 0 0 0
Florida 21 West GulfofMex 82 27 11.5 16.8 0.9 6 8.4 1.46 0.71 2.00 7 2 3 3 3 5 0 7 7 0 0
Florida 21 West GulfofMex 82 27 11.4 15.7 1 5.8 8.1 1.38 0.72 1.94 7 2 3 4 2 5 0 7 7 0 0
Florida 21 West GulfofMex 82 27 11.3 16.5 1 6.4 8.4 1.46 0.76 1.96 7 0 2 2 1 5 0 7 0 0 0
Florida 21 West GulfofMex 82 27 11.2 16.4 0.8 6.8 8.7 1.46 0.78 1.89 7 0 3 2 2 4 0 6 6 0 0
Florida 21 West GulfofMex 82 27 10.2 15.8 0.7 5.9 8.1 1.55 0.73 1.95 7 0 3 4 3 4 0 6 0 0 0
Florida 21 West GulfofMex 82 27 10.4 15.1 1.1 5.9 7.9 1.45 0.75 1.91 7 0 2 2 1 4 0 7 0 0 0
Florida 21 West GulfofMex 82 27 12.2 17.5 1.2 6.7 9 1.43 0.74 1.94 7 0 3 3 2 4 0 7 0 0 0
Florida 21 West GulfofMex 82 27 12.8 18.3 1.1 7.2 9.5 1.43 0.76 1.93 8 0 3 3 1 4 0 6 5 0 0
Florida 21 West GulfofMex 82 27 12.1 18 1 6.5 9.2 1.49 0.71 1.96 7 0 3 5 3 5 0 6 0 0 0
Florida 21 West GulfofMex 82 27 12.1 17.3 1.1 6.8 9.3 1.43 0.73 1.86 7 0 3 4 1 4 0 6 0 0 0
Florida 21 West GulfofMex 82 27 11.5 16.9 0.9 6.3 8.6 1.47 0.73 1.97 7 0 3 5 1 4 0 6 0 0 0
Florida 21 West GulfofMex 82 27 12 18.9 1.2 7.2 9.5 1.58 0.76 1.99 7 0 3 5 2 4 0 6 0 0 0
Florida 21 West GulfofMex 82 27 10.8 16.8 1.2 6.4 8.2 1.56 0.78 2.05 7 2 4 3 2 5 0 7 7 0 0
