Sitename Sitenum Atlantic Current longitude latitude ShellBreadth ShellHeight Columella ApertureWidth ApertureLength Proportionality Circularity Spireheight N.Telochonc.Whorls N.Protochonch.Whorls Whorl.First.Primary N.Primary.Whorls Whorl.Axial.Striae Whorl.Secondary.Groove Regularity.Secondary.Groove Whorl.Tertiary.Groove Whorl.Spiral.Striae Columella.Color Columella.Morphology
Belize 17 West Caribbean 88 17 13.3 19.7 1.6 7.6 10.4 1.48 0.73 1.89 7 0 1 3 1 2 0 6 0 0 0
Belize 17 West Caribbean 88 17 12 18 1.5 7.3 9.7 1.50 0.75 1.86 7 2 2 2 1 3 0 6 0 0 0
Belize 17 West Caribbean 88 17 12.2 17.5 1.5 7 9.4 1.43 0.74 1.86 8 0 2 2 2 5 0 0 6 0 0
Belize 17 West Caribbean 88 17 12 16 0.7 6.3 9.3 1.33 0.68 1.72 7 3 2 2 1 4 0 6 4 0 0
Belize 17 West Caribbean 88 17 13 19.1 1.4 8.1 10.4 1.47 0.78 1.84 7 0 3 5 3 5 0 7 0 0 0
Belize 17 West Caribbean 88 17 13.7 20.3 1.3 7 9.9 1.48 0.71 2.05 6 0 1 3 1 3 0 6 0 0 0
Belize 17 West Caribbean 88 17 13.5 19.8 1.8 8 10.3 1.47 0.78 1.92 6 0 2 5 2 4 0 6 0 0 0
Belize 17 West Caribbean 88 17 13.6 18.4 1.5 8.4 11 1.35 0.76 1.67 7 0 1 5 1 3 0 6 0 0 6
Belize 17 West Caribbean 88 17 12.4 18.7 1.8 7.5 9.5 1.51 0.79 1.97 7 2 3 7 1 5 0 7 0 0 0
Belize 17 West Caribbean 88 17 14 19.4 1.7 8.8 11 1.39 0.80 1.76 7 2 3 5 2 5 1 6 0 0 0
Belize 17 West Caribbean 88 17 14.3 19.8 1.7 8.3 10.7 1.38 0.78 1.85 6 0 1 3 1 3 0 5 4 0 0
Belize 17 West Caribbean 88 17 14.5 21.1 1.7 8.3 10.6 1.46 0.78 1.99 7 4 2 4 1 3 0 6 0 0 0
