OID,rte.name,route.type,ecs,year,num.col,rte.km,col.km,aircraft,pilot,speed,observer1,observer2,obs.type,flt.cond,1st.yr.pilot,1st.yr.obs
339,Southern_pine,Mixed,W_sup_upland,1996,115,318.667,0.361,Cessna 185,Stoltman,2,Hemness,Lueth,double,good,no,no
340,Southern_pine,Mixed,W_sup_upland,1997,103,318.667,0.323,Cessna 185,Stoltman,2,Hemness,Utech,double,good,no,no
341,Southern_pine,Mixed,W_sup_upland,1998,101,318.667,0.317,Cessna 185,Stoltman,1,Hemness,Lueth,double,fair,no,no
342,Southern_pine,Mixed,W_sup_upland,1999,91,318.667,0.286,Cessna 185,Stoltman,1,Hemness,Lueth,double,fair,no,no
343,Southern_pine,Mixed,W_sup_upland,2000,89,318.667,0.279,Cessna 185,Stoltman,1,Hemness,NA,single,good,no,no
344,Southern_pine,Mixed,W_sup_upland,2001,69,318.667,0.217,Cessna 185,Trenholm,1,Pauly,NA,single,good,yes,yes
345,West_vermillion,Mixed,Peatlands,1975,78,135.763,0.575,Cessna 180,Hodge,2,Breyen,NA,single,good,no,no
346,West_vermillion,Mixed,Peatlands,1976,45,135.763,0.331,Cessna 172,Wilderness_wings,1,Breyen,NA,single,good,yes,no
347,West_vermillion,Mixed,Peatlands,1977,86,135.763,0.633,Cessna 172,Wilderness_wings,1,Breyen,NA,single,good,no,no
348,West_vermillion,Mixed,Peatlands,1978,104,135.763,0.766,Cessna 180,Glaser,1,Breyen,NA,single,good,yes,no
349,West_vermillion,Mixed,Peatlands,1979,93,135.763,0.685,Cessna 172,Wilderness_wings,1,Breyen,Kanz,double,good,no,no
350,West_vermillion,Mixed,Peatlands,1980,80,135.763,0.589,Cessna 150,Ross,1,Breyen,NA,single,good,yes,no
351,West_vermillion,Mixed,Peatlands,1981,87,135.763,0.641,Cessna 150,Taconite,1,Breyen,NA,single,good,yes,no
352,West_vermillion,Mixed,Peatlands,1982,71,135.763,0.523,Cessna 185,Ross,1,Lightfoot,NA,single,good,no,yes
353,West_vermillion,Mixed,Peatlands,1983,28,135.763,0.206,Cessna 172,Taconite,1,Lightfoot,NA,single,good,no,no
354,West_vermillion,Mixed,Peatlands,1984,89,135.763,0.656,Cessna 185,Ross,1,Lightfoot,NA,single,good,no,no
355,West_vermillion,Mixed,Peatlands,1985,61,135.763,0.449,Cessna 185,Ross,1,Lightfoot,NA,single,NA,no,no
356,West_vermillion,Mixed,Peatlands,1986,79,135.763,0.582,Cessna 185,Ross,1,Lightfoot,Fouchi,double,good,no,no
357,West_vermillion,Mixed,Peatlands,1987,66,135.763,0.486,Cessna 185,Ross,2,Lightfoot,Caron,double,good,no,no
358,West_vermillion,Mixed,Peatlands,1988,72,135.763,0.53,Cessna 185,Ross,NA,Lightfoot,Kotts,double,fair,no,no
359,West_vermillion,Mixed,Peatlands,1989,NA,135.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,West_vermillion,Mixed,Peatlands,1990,107,135.763,0.788,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,West_vermillion,Mixed,Peatlands,1991,NA,135.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,West_vermillion,Mixed,Peatlands,1992,104,135.763,0.766,Cessna 185,Ross,NA,Lightfoot,NA,single,good,no,no
