trapping_code,sampling_site,site_section,location,date_year,success,weight_animal,island_distance
MI_00544,Mandarte Island,Section5_1,island,2021,0.053977428,24,7206
MI_1128,Mandarte Island,Section4_1,island,2022,0.080363759,15.5,7206
MI_1113,Mandarte Island,Section4_1,island,2022,0.080363759,NA,7206
MI_1115,Mandarte Island,Section4_1,island,2022,0.080363759,19,7206
MI_1163,Mandarte Island,Section4_1,island,2022,0.080363759,20.5,7206
MI_1127,Mandarte Island,Section4_1,island,2022,0.080363759,19,7206
MI_1142,Mandarte Island,Section4_1,island,2022,0.080363759,20.5,7206
MI_1153,Mandarte Island,Section4_1,island,2022,0.080363759,18,7206
MI_01459,Mandarte Island,Section4_4,island,2022,0.080363759,16.5,7206
MI_01462,Mandarte Island,Section4_4,island,2022,0.080363759,26,7206
MI_01466,Mandarte Island,Section4_4,island,2022,0.080363759,21,7206
MI_01215,Mandarte Island,Section4_2,island,2022,0.080363759,19,7206
MI_01231,Mandarte Island,Section4_2,island,2022,0.080363759,23.5,7206
MI_01243,Mandarte Island,Section4_2,island,2022,0.080363759,26,7206
MI_01244,Mandarte Island,Section4_2,island,2022,0.080363759,25,7206
MI_01247,Mandarte Island,Section4_2,island,2022,0.080363759,19,7206
MI_01246,Mandarte Island,Section4_2,island,2022,0.080363759,17,7206
MI_01323,Mandarte Island,Section4_3,island,2022,0.080363759,19,7206
MI_1165,Mandarte Island,Section4_1,island,2022,0.080363759,18.5,7206
MI_01454,Mandarte Island,Section4_4,island,2022,0.080363759,20,7206
MI_01457,Mandarte Island,Section4_4,island,2022,0.080363759,25.5,7206
MI_01340,Mandarte Island,Section4_3,island,2022,0.080363759,19,7206
MI_01356,Mandarte Island,Section4_3,island,2022,0.080363759,25,7206
MI_01363,Mandarte Island,Section4_3,island,2022,0.080363759,24,7206
MI_01358,Mandarte Island,Section4_3,island,2022,0.080363759,25,7206
MI_01383,Mandarte Island,Section4_3,island,2022,0.080363759,16,7206
MI_01390,Mandarte Island,Section4_3,island,2022,0.080363759,11,7206
MI_01436,Mandarte Island,Section4_4,island,2022,0.080363759,18,7206
MI_01437,Mandarte Island,Section4_4,island,2022,0.080363759,17,7206
MI_01440,Mandarte Island,Section4_4,island,2022,0.080363759,22,7206
MI_01444,Mandarte Island,Section4_4,island,2022,0.080363759,21,7206
MI_01332,Mandarte Island,Section4_3,island,2022,0.080363759,22,7206
MI_01328,Mandarte Island,Section4_3,island,2022,0.080363759,17,7206
MI_01326,Mandarte Island,Section4_3,island,2022,0.080363759,24,7206
MI_1105,Mandarte Island,Section4_1,island,2022,0.080363759,25,7206
MI_1101,Mandarte Island,Section4_1,island,2022,0.080363759,19,7206
MI_1108,Mandarte Island,Section4_1,island,2022,0.080363759,23,7206
MI_1110,Mandarte Island,Section4_1,island,2022,0.080363759,20,7206
MI_01470,Mandarte Island,Section4_4,island,2022,0.080363759,26,7206
MI_01432,Mandarte Island,Section4_4,island,2022,0.080363759,28,7206
MI_01476,Mandarte Island,Section4_4,island,2022,0.080363759,23,7206
MI_01307,Mandarte Island,Section4_3,island,2022,0.080363759,20,7206
MI_01315,Mandarte Island,Section4_3,island,2022,0.080363759,19,7206
MI_01321,Mandarte Island,Section4_3,island,2022,0.080363759,20,7206
MI_01445,Mandarte Island,Section4_4,island,2022,0.080363759,21,7206
MI_01448,Mandarte Island,Section4_4,island,2022,0.080363759,25,7206
MI_01500,Mandarte Island,Section4_4,island,2022,0.080363759,21.5,7206
MI_01474,Mandarte Island,Section4_4,island,2022,0.080363759,NA,7206
MI_1526,Mandarte Island,Section4_4,island,2022,0.080363759,21,7206
PI_00930,Portland Island,PortlandIsland,island,2021,0.017419706,27,3743
PI_00944,Portland Island,PortlandIsland,island,2021,0.017419706,26,3743
PI_00931,Portland Island,PortlandIsland,island,2021,0.017419706,26,3743
SR_01211,Saltspring Island,Ruckel,island,2022,0.006826456,18,585
ST_01204,Saltspring Island,CrownLand,island,2022,0.006826456,16,585
ST_01208,Saltspring Island,CrownLand,island,2022,0.006826456,17,585
SR_01210,Saltspring Island,Ruckel,island,2022,0.006826456,23,585
SU_01214,Saturna Island,Saturna Island,island,2022,0.002364812,28,17589
SC_00874,Sidney Island,Central,island,2021,0.028540435,26,4335
SC_00875,Sidney Island,Central,island,2021,0.028540435,24,4335
SC_00852,Sidney Island,Central,island,2021,0.028540435,21.5,4335
SC_00856,Sidney Island,Central,island,2021,0.028540435,23,4335
SC_00865,Sidney Island,Central,island,2021,0.028540435,22,4335
SC_00866,Sidney Island,Central,island,2021,0.028540435,21,4335
SC_00860,Sidney Island,Central,island,2021,0.028540435,22,4335
SC_00864,Sidney Island,Central,island,2021,0.028540435,20,4335
SC_00871,Sidney Island,Central,island,2021,0.028540435,28,4335
SC_00872,Sidney Island,Central,island,2021,0.028540435,25,4335
SN_00803,Sidney Island,North,island,2021,0.028540435,23.5,4335
SC_00876,Sidney Island,Central,island,2021,0.028540435,23,4335
SS_00901,Sidney Island,South,island,2021,0.028540435,30,4335
SN_00814,Sidney Island,North,island,2021,0.028540435,21.5,4335
SS_00902,Sidney Island,South,island,2021,0.028540435,24,4335
SS_00903,Sidney Island,South,island,2021,0.028540435,23,4335
SS_00908,Sidney Island,South,island,2021,0.028540435,25,4335
SN_00821,Sidney Island,North,island,2021,0.028540435,22,4335
SN_00823,Sidney Island,North,island,2021,0.028540435,24,4335
SC_00867,Sidney Island,Central,island,2021,0.028540435,28,4335
SC_00870,Sidney Island,Central,island,2021,0.028540435,24,4335
SN_00800,Sidney Island,North,island,2021,0.028540435,26.5,4335
SN_00802,Sidney Island,North,island,2021,0.028540435,22,4335
SN_00837,Sidney Island,North,island,2021,0.028540435,25,4335
SN_00809,Sidney Island,North,island,2021,0.028540435,24.5,4335
SN_00811,Sidney Island,North,island,2021,0.028540435,20,4335
SC_00851,Sidney Island,Central,island,2021,0.028540435,27,4335
SN_00815,Sidney Island,North,island,2021,0.028540435,20,4335
SN_00816,Sidney Island,North,island,2021,0.028540435,22.5,4335
SN_00817,Sidney Island,North,island,2021,0.028540435,NA,4335
SN_00829,Sidney Island,North,island,2021,0.028540435,21,4335
SN_00832,Sidney Island,North,island,2021,0.028540435,27,4335
SN_00825,Sidney Island,North,island,2021,0.028540435,20.5,4335
SN_00827,Sidney Island,North,island,2021,0.028540435,17,4335
VS_01418,Vancouver,StanleyPark,mainland,2022,0.015247031,18,
