trapping_code,weight_animal,hind_foot,ear,tail,date_year,sampling_site,location,success,islandsize,distance,predation
MI_00544,24,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00486,NA,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00376,26,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00380,NA,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00375,24,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00467,27.5,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00512,27,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00535,25,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00411,28,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00396,21,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00542,24.5,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00419,21,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00394,27,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00409,24,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00461,19,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00367,28,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00403,26,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00539,18.5,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00407,23,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00460,27.5,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_00350,27,NA,NA,NA,2021,Mandarte Island,island,0.053977427621176535,80697,7206,1
MI_01246,17,20.3,14,73,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1142,20.5,19.2,15.9,74,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1163,20.5,19.6,16,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1128,15.5,18,14.7,76,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01247,19,16.7,14,73,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01358,25,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01340,19,19,13.9,74,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1127,19,20.4,13.3,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01437,17,19.7,14.7,82,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1165,18.5,19,15,77,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01474,NA,20,14.3,82,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01363,24,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01445,21,20.1,15,74,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01243,26,19.7,14.4,82,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01307,20,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01432,28,20.4,14.6,83,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01462,26,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01448,25,19.1,14,78,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1108,23,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1101,19,18.9,14.7,74,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1115,19,20,13.8,74,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01215,19,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01244,25,20.7,13,80,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
